시도,시군구,구분,201912,202001,202002,202003,202004,202005
서울,종로구,사고건수,5,9,6,4,10,8
서울,종로구,사망자수,0,0,0,0,0,1
서울,종로구,부상자수,5,11,10,5,12,8
서울,중구,사고건수,6,5,8,7,6,11
서울,중구,사망자수,0,0,0,0,0,2
서울,중구,부상자수,6,5,9,10,7,16
서울,용산구,사고건수,6,5,3,5,9,9
서울,용산구,사망자수,0,0,1,1,0,1
서울,용산구,부상자수,6,5,2,5,14,10
서울,성동구,사고건수,9,7,15,10,11,5
서울,성동구,사망자수,1,0,0,0,0,0
서울,성동구,부상자수,10,9,18,10,14,6
서울,동대문구,사고건수,23,9,22,14,21,20
서울,동대문구,사망자수,0,0,0,0,0,0
서울,동대문구,부상자수,28,9,26,26,26,26
서울,성북구,사고건수,14,19,13,14,9,16
서울,성북구,사망자수,0,0,1,1,0,1
서울,성북구,부상자수,18,22,15,16,9,17
서울,도봉구,사고건수,10,7,14,2,6,11
서울,도봉구,사망자수,0,0,0,0,0,0
서울,도봉구,부상자수,12,8,16,4,11,14
서울,은평구,사고건수,13,2,11,7,10,13
서울,은평구,사망자수,0,0,0,0,0,0
서울,은평구,부상자수,19,4,16,11,14,23
서울,서대문구,사고건수,8,11,9,8,3,7
서울,서대문구,사망자수,1,0,0,0,0,0
서울,서대문구,부상자수,8,13,12,10,5,9
서울,마포구,사고건수,6,12,6,6,12,9
서울,마포구,사망자수,0,0,0,0,0,0
서울,마포구,부상자수,7,13,8,8,15,15
서울,강서구,사고건수,17,12,16,16,23,24
서울,강서구,사망자수,1,0,0,0,0,1
서울,강서구,부상자수,23,13,20,18,25,31
서울,구로구,사고건수,12,15,13,12,15,10
서울,구로구,사망자수,0,0,1,0,0,0
서울,구로구,부상자수,14,20,15,17,17,11
서울,영등포구,사고건수,15,19,21,17,25,19
서울,영등포구,사망자수,0,1,0,1,0,0
서울,영등포구,부상자수,17,25,28,20,30,29
서울,동작구,사고건수,18,13,13,14,18,25
서울,동작구,사망자수,0,0,0,0,0,1
서울,동작구,부상자수,23,17,17,15,27,30
서울,관악구,사고건수,9,12,13,19,11,19
서울,관악구,사망자수,1,0,0,0,0,0
서울,관악구,부상자수,11,18,19,26,14,23
서울,강남구,사고건수,22,23,39,21,23,20
서울,강남구,사망자수,0,1,1,1,1,2
서울,강남구,부상자수,30,34,46,26,28,21
서울,강동구,사고건수,10,7,6,7,6,6
서울,강동구,사망자수,1,0,0,0,0,0
서울,강동구,부상자수,10,7,13,8,8,8
서울,송파구,사고건수,12,16,20,25,18,15
서울,송파구,사망자수,0,0,0,0,1,0
서울,송파구,부상자수,14,20,24,31,24,16
서울,서초구,사고건수,7,12,9,19,9,15
서울,서초구,사망자수,0,0,0,0,0,0
서울,서초구,부상자수,9,13,13,20,12,18
서울,양천구,사고건수,8,7,9,11,5,11
서울,양천구,사망자수,0,0,2,0,0,0
서울,양천구,부상자수,11,9,11,14,8,15
서울,중랑구,사고건수,15,11,23,9,22,21
서울,중랑구,사망자수,0,0,0,0,0,0
서울,중랑구,부상자수,17,14,27,14,29,29
서울,노원구,사고건수,11,9,14,9,22,19
서울,노원구,사망자수,0,0,0,0,0,0
서울,노원구,부상자수,14,9,16,10,36,24
서울,광진구,사고건수,5,9,5,12,6,12
서울,광진구,사망자수,0,0,0,0,0,0
서울,광진구,부상자수,5,11,5,13,6,14
서울,강북구,사고건수,7,14,10,14,16,15
서울,강북구,사망자수,0,0,0,0,0,0
서울,강북구,부상자수,9,19,13,18,19,18
서울,금천구,사고건수,5,6,8,7,6,9
서울,금천구,사망자수,0,0,0,0,0,0
서울,금천구,부상자수,5,7,10,9,6,11
경기,수원시,사고건수,35,37,28,31,33,30
경기,수원시,사망자수,1,2,1,0,0,0
경기,수원시,부상자수,46,51,34,51,44,41
경기,성남시,사고건수,20,31,25,14,21,16
경기,성남시,사망자수,0,1,0,0,0,0
경기,성남시,부상자수,24,35,34,17,38,20
경기,의정부시,사고건수,10,10,9,9,8,14
경기,의정부시,사망자수,0,1,0,0,0,0
경기,의정부시,부상자수,10,11,10,11,14,17
경기,안양시,사고건수,8,5,9,8,8,6
경기,안양시,사망자수,0,0,0,0,0,0
경기,안양시,부상자수,9,6,9,15,8,11
경기,부천시,사고건수,33,22,22,25,24,28
경기,부천시,사망자수,1,0,0,0,0,0
경기,부천시,부상자수,44,30,24,34,30,41
경기,안산시,사고건수,21,12,22,19,26,26
경기,안산시,사망자수,0,1,0,0,0,0
경기,안산시,부상자수,29,16,32,28,32,40
경기,평택시,사고건수,21,14,17,19,30,14
경기,평택시,사망자수,0,0,0,0,1,0
경기,평택시,부상자수,37,16,22,26,39,24
경기,광명시,사고건수,3,4,8,5,7,8
경기,광명시,사망자수,0,0,0,0,0,0
경기,광명시,부상자수,3,6,9,8,8,9
경기,구리시,사고건수,5,2,2,7,4,9
경기,구리시,사망자수,0,0,0,0,0,0
경기,구리시,부상자수,7,3,2,10,4,14
경기,양주시,사고건수,6,4,2,4,1,4
경기,양주시,사망자수,0,0,0,1,0,0
경기,양주시,부상자수,8,7,2,4,1,8
경기,여주시,사고건수,2,3,0,3,3,0
경기,여주시,사망자수,0,0,0,0,0,0
경기,여주시,부상자수,2,4,0,3,3,0
경기,화성시,사고건수,15,9,19,15,19,10
경기,화성시,사망자수,1,0,0,2,1,1
경기,화성시,부상자수,19,12,25,21,29,11
경기,시흥시,사고건수,14,7,9,10,16,13
경기,시흥시,사망자수,1,0,0,1,0,0
경기,시흥시,부상자수,17,9,10,15,23,18
경기,파주시,사고건수,8,4,6,4,5,4
경기,파주시,사망자수,0,0,0,1,2,2
경기,파주시,부상자수,9,5,8,4,3,3
경기,고양시,사고건수,26,21,26,24,31,22
경기,고양시,사망자수,0,0,0,1,1,4
경기,고양시,부상자수,36,29,30,36,38,27
경기,광주시,사고건수,9,6,7,4,9,19
경기,광주시,사망자수,0,0,0,0,1,1
경기,광주시,부상자수,10,7,7,4,13,25
경기,연천군,사고건수,1,0,0,1,1,3
경기,연천군,사망자수,0,0,0,1,0,0
경기,연천군,부상자수,2,0,0,0,1,3
경기,포천시,사고건수,2,2,4,5,1,3
경기,포천시,사망자수,0,0,0,0,0,0
경기,포천시,부상자수,3,5,5,5,1,3
경기,가평군,사고건수,0,2,0,2,0,6
경기,가평군,사망자수,0,0,0,0,0,0
경기,가평군,부상자수,0,2,0,2,0,6
경기,양평군,사고건수,0,0,0,2,6,1
경기,양평군,사망자수,0,0,0,0,2,0
경기,양평군,부상자수,0,0,0,2,6,2
경기,이천시,사고건수,6,4,4,3,5,11
경기,이천시,사망자수,0,0,0,1,0,0
경기,이천시,부상자수,6,5,4,3,7,13
경기,용인시,사고건수,19,12,16,15,18,21
경기,용인시,사망자수,0,1,1,1,0,1
경기,용인시,부상자수,27,15,16,22,20,28
경기,안성시,사고건수,7,3,3,7,7,6
경기,안성시,사망자수,0,0,0,0,0,0
경기,안성시,부상자수,8,3,3,11,10,10
경기,김포시,사고건수,10,15,10,6,12,16
경기,김포시,사망자수,0,2,1,0,0,2
경기,김포시,부상자수,20,22,9,6,16,24
경기,동두천시,사고건수,1,2,1,2,0,1
경기,동두천시,사망자수,0,0,0,0,0,1
경기,동두천시,부상자수,1,2,2,2,0,0
경기,과천시,사고건수,1,1,2,1,0,0
경기,과천시,사망자수,0,0,0,0,0,0
경기,과천시,부상자수,1,2,2,1,0,0
경기,군포시,사고건수,8,5,6,6,13,12
경기,군포시,사망자수,0,0,0,0,0,0
경기,군포시,부상자수,8,9,11,8,17,21
경기,남양주시,사고건수,12,6,14,10,14,20
경기,남양주시,사망자수,0,0,1,0,0,0
경기,남양주시,부상자수,16,9,14,13,21,25
경기,오산시,사고건수,7,6,10,4,10,8
경기,오산시,사망자수,0,0,0,0,0,0
경기,오산시,부상자수,10,7,12,6,15,11
경기,의왕시,사고건수,1,3,1,4,1,1
경기,의왕시,사망자수,0,0,0,0,1,0
경기,의왕시,부상자수,1,6,1,4,0,2
경기,하남시,사고건수,7,11,6,7,6,6
경기,하남시,사망자수,1,0,0,2,0,1
경기,하남시,부상자수,7,17,9,8,8,7